Year,Month,Precip.,Temp_High,Temp_Low,DewPt_High,DewPt_Low,Humidity,Max Wind,Pressure
2014,1,-0.6255039010320705,-1.4377967368341087,-2.829644663499704,-2.512638309416329,-2.3433665731060076,-0.18789820563323714,-0.6140835615671322,1.8992723197984394
2014,2,-0.6255039010320705,0.3045049190559236,-1.2777755434546634,-1.954415445750157,-2.000890549035825,-1.5340770817843854,0.2743016551083851,0.1642064335774437
2014,3,-0.6255039010320705,1.3460316505055212,-0.02201767607975113,-1.613056140630555,-2.0664554777080846,-2.421323637757106,0.6062968970626318,0.12429668661965092
2014,4,0.12800492882147455,1.5246708583274644,0.868584578894858,-0.1441550715067476,-0.32567609774978307,-1.297545789308378,0.5818257264078164,-0.3802357049308744
2014,5,-0.6223642809076808,1.0517061822405385,0.9814302363916407,-0.0013047548893761278,0.13857731897908201,-0.9945886945731616,1.55018490803409,-0.6729324020509154
2014,6,0.39801225951899494,-0.4268705104184112,0.8057423863966497,0.4884677592273237,0.6811179466290861,0.29115995008625045,0.6803460238492819,-1.6397524946441668
2014,7,-0.4936398558077002,-0.7265101885270664,0.5861325739029108,0.12363721299753758,0.5180480793391983,0.16957640319112108,1.311829349707964,-1.2819816210282575
2014,8,0.6523214895945665,-0.6676450948740693,0.46011032765650234,0.19152234888276057,0.5009548018454979,0.3042357174886746,0.8281264700114799,-0.6790172601128879
2014,9,-0.537594537549157,-0.4268705104184112,0.5543736164038162,0.2302543589277028,0.5963352902603395,0.13098179940654456,1.113835332591729,-0.538941573875951
2014,10,0.6994157914604131,-0.8736729226595578,-0.13351188857657256,0.4110037391374379,0.7026554762711474,1.1692399110539302,-0.7570968965628075,0.7459663519476684
2014,11,-0.31154188859309345,-0.8450579465782417,-0.6396280410621438,0.07532631874793108,0.2572046647853511,0.9743687968629525,-1.0634632408646547,0.9487949540122915
2014,12,-0.5941076997881729,-1.2661068803462014,-1.5525291385361157,-1.2007476466037397,-1.0306028615899274,0.20437481643951036,-0.661754673232357,1.6210590872997523
